2, 8, 996
2, 9, 996
2, 9, 996
2, 9, 995
2, 9, 995
1, 8, 996
0, 9, 997
0, 9, 997
-12, 7, 1002
-,-,-
78, 80, 812
78, 80, 812
-66, -28, 690
-54, -18, 973
-8, 0, 979
-8, 0, 979
1, 13, 1025
2, 18, 979
2, 18, 979
1, 11, 1000
2, 9, 1001
2, 9, 1001
2, 9, 991
2, 9, 996
2, 9, 996
2, 8, 999
2, 8, 999
2, 9, 996
2, 10, 991
2, 10, 991
2, 9, 1002
2, 10, 993
2, 10, 993
2, 8, 994
2, 8, 994
2, 11, 1002
2, 8, 991
2, 8, 991
2, 9, 999
2, 9, 999
1, 10, 997
2, 8, 991
2, 8, 991
2, 9, 1001
2, 8, 992
2, 8, 992
1, 7, 997
